feature,importance
fft_phase_kurtosis,0.04572089623178188
percentile_75,0.04521202938977188
fft_phase_std,0.04386219337171928
hist_skew,0.03642210911180553
lbp_hist_0,0.032110541792211345
fft_phase_skew,0.028819881777920303
percentile_50,0.027584484016328594
hist_kurtosis,0.027110439950254216
glcm_asm_d2_a0,0.025216787152936373
lbp_hist_17,0.02013807745865863
lbp_hist_14,0.018879010057535117
lbp_hist_24,0.018259190128339934
glcm_energy_d2_a0,0.018098773612304678
percentile_90,0.017871723307872962
glcm_energy_d1_a0,0.016191726611156462
glcm_asm_d1_a0,0.014852822544832832
lbp_hist_11,0.013507458860851466
glcm_asm_d3_a90,0.012752919129551604
glcm_energy_d3_a0,0.012742362043014668
lbp_hist_13,0.012708088987121955
lbp_hist_1,0.012684618567522586
lbp_hist_15,0.012361121560723198
lbp_hist_25,0.012274106954220654
ncc_Canon120-2_300dpi,0.012180852998608813
lbp_hist_16,0.011662677956640288
lbp_hist_22,0.011436058338922661
glcm_asm_d3_a0,0.010964374977679565
ncc_EpsonV550_300dpi,0.010066604933445014
ncc_EpsonV370-1_150dpi,0.010007756814896386
ncc_Canon120-2_150dpi,0.00997996528773023
lbp_hist_21,0.009692685322822277
glcm_energy_d2_a135,0.009197330710408404
glcm_energy_d3_a90,0.009157187859671689
ncc_Canon9000-1_300dpi,0.009043983556718265
lbp_hist_12,0.008781780089964181
ncc_Canon9000-2_150dpi,0.008675291028792265
ncc_EpsonV370-1_300dpi,0.008668996958719631
lbp_hist_3,0.008613386865867972
range,0.008473423714102172
glcm_asm_d1_a90,0.008360666546782872
ncc_EpsonV39-2_300dpi,0.00800711890351063
glcm_energy_d2_a90,0.007813910159203425
lbp_hist_10,0.00749349670201388
lbp_hist_8,0.007359716258492463
lbp_hist_20,0.006720581408173836
ncc_Canon9000-1_150dpi,0.006439134532960006
ncc_EpsonV370-2_300dpi,0.006429599087422435
ncc_Canon9000-2_300dpi,0.006375556708434232
glcm_asm_d2_a90,0.006266694622439822
ncc_EpsonV370-2_150dpi,0.005893588067043836
glcm_asm_d2_a135,0.0058226751799469855
ncc_EpsonV550_150dpi,0.00579661377546749
lbp_hist_9,0.005519196819885405
glcm_energy_d1_a90,0.005175765975750623
ncc_Canon220_300dpi,0.0051635956557629726
glcm_energy_d3_a135,0.005129701675412412
ncc_Canon220_150dpi,0.004984878484095966
glcm_energy_d1_a45,0.004941354582469618
lbp_hist_18,0.004885367385173749
lbp_hist_4,0.004843464592354172
ncc_EpsonV39-1_300dpi,0.004771782288993428
glcm_energy_d1_a135,0.004681119092570557
glcm_asm_d1_a45,0.004621982796216796
ncc_EpsonV39-2_150dpi,0.004408318379314506
ncc_EpsonV39-1_150dpi,0.004399455686960925
lbp_hist_23,0.00397752949980722
lbp_hist_5,0.0038886384835286852
lbp_hist_19,0.0037524497037387944
fft_phase_mean,0.0035857801348019346
ncc_HP_300dpi,0.0033903387718798063
lbp_hist_6,0.00336793244403939
glcm_energy_d3_a45,0.0033023588660942875
glcm_asm_d3_a135,0.0031293085677324643
glcm_asm_d2_a45,0.003057866704507076
lbp_hist_7,0.003017133540068023
hist_std,0.002929824123805892
glcm_asm_d1_a135,0.0028047062129125783
edge_variance,0.0023762008128333668
glcm_energy_d2_a45,0.0023353344477375798
glcm_homogeneity_d3_a0,0.00230151858192149
glcm_asm_d3_a45,0.0022893327397311663
ncc_HP_150dpi,0.0022776215668177864
glcm_contrast_d3_a90,0.002200231051461304
glcm_homogeneity_d2_a0,0.002199354128774254
glcm_contrast_d1_a45,0.0021754541087634126
kurtosis,0.002160262610408111
glcm_contrast_d2_a90,0.002144001668288445
medium_freq_energy,0.0020624806930472834
glcm_correlation_d3_a0,0.0020521847477429443
glcm_contrast_d1_a0,0.0020407041444986686
glcm_contrast_d1_a135,0.0020284060244341443
ncc_Canon120-1_300dpi,0.0020252876095606855
ncc_Canon120-1_150dpi,0.0019936166735539536
glcm_correlation_d1_a0,0.001968184173754636
lbp_hist_2,0.0019327438272596456
glcm_contrast_d3_a45,0.00191969461225932
glcm_homogeneity_d2_a135,0.0019069659844778424
glcm_homogeneity_d1_a135,0.0018944907212048012
edge_density,0.0018764429568757992
glcm_dissimilarity_d2_a90,0.0018568046294584006
glcm_correlation_d1_a45,0.0018435084391248888
glcm_contrast_d2_a135,0.0018371866344386164
glcm_dissimilarity_d2_a45,0.001819866383829154
glcm_dissimilarity_d3_a45,0.0018172686278117843
glcm_contrast_d3_a135,0.0017990429607497816
glcm_contrast_d1_a90,0.001798533881632436
glcm_contrast_d2_a45,0.0017889157006117625
glcm_dissimilarity_d3_a0,0.0017382802096070054
glcm_dissimilarity_d3_a90,0.0017378833383738881
fft_magnitude_std,0.0017294514334671766
glcm_correlation_d3_a90,0.001721418074981224
glcm_dissimilarity_d1_a90,0.0017099993306620976
glcm_homogeneity_d1_a0,0.0017090093435956485
low_freq_energy,0.0016902358803287318
glcm_correlation_d1_a135,0.0016799872536911763
glcm_dissimilarity_d1_a0,0.001678516778487829
glcm_correlation_d2_a45,0.0016674609734307192
glcm_correlation_d2_a0,0.0016345995483500633
glcm_homogeneity_d1_a45,0.0016228072775385024
glcm_correlation_d2_a135,0.0015755492724870424
dct_magnitude_kurtosis,0.001539094500456984
glcm_dissimilarity_d2_a135,0.0015354456109856088
glcm_homogeneity_d1_a90,0.001535038305830279
glcm_dissimilarity_d1_a45,0.001523176878697848
glcm_correlation_d1_a90,0.0015172011592363534
glcm_correlation_d2_a90,0.0014979188313050313
glcm_homogeneity_d3_a45,0.0014951182659302099
glcm_homogeneity_d2_a45,0.0014820898650288474
glcm_homogeneity_d2_a90,0.0014566064298180681
mean,0.0014557865068349505
glcm_dissimilarity_d3_a135,0.0014526236194340565
glcm_homogeneity_d3_a135,0.0014493022379130558
std,0.0014370958878945042
glcm_homogeneity_d3_a90,0.0014361755847523195
dct_magnitude_mean,0.001432956598781327
glcm_dissimilarity_d1_a135,0.0014311228532498934
variance,0.001423590056460103
skewness,0.001419656413819064
glcm_contrast_d3_a0,0.0014074930324663004
glcm_dissimilarity_d2_a0,0.0013759588677743724
high_freq_energy,0.0013372711863692474
dct_magnitude_std,0.0013316501306004083
fft_magnitude_kurtosis,0.0012532638052496462
glcm_correlation_d3_a45,0.0012487281229582399
glcm_contrast_d2_a0,0.0011750962036018754
glcm_correlation_d3_a135,0.0011062229361267334
fft_magnitude_skew,0.0010918872018751994
fft_magnitude_mean,0.001076707289376995
iqr,0.0010644445840503347
dct_magnitude_skew,0.0010290996934388264
percentile_25,0.001003490411098984
percentile_10,0.0008689246173245971
hist_mean,0.0
