image_path,label,tamper_type,category,has_mask,mask_path
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s11_29_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s11_29_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s9_51_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s9_51_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s9_52_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s9_52_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s1_84_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s1_84_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s1_81_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s1_81_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s11_38_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s11_38_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s11_35_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s11_35_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s1_74_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s1_74_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s9_67_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s9_67_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s9_59_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s9_59_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s11_41_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s11_41_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s9_61_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s9_61_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s1_79_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s1_79_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s1_71_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s1_71_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s9_68_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s9_68_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s9_58_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s9_58_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s1_96_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s1_96_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s1_83_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s1_83_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s1_70_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s1_70_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s11_27_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s11_27_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s11_36_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s11_36_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s9_60_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s9_60_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s11_34_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s11_34_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s1_72_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s1_72_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s11_4_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s11_4_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s11_19_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s11_19_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s9_62_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s9_62_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s9_56_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s9_56_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s1_73_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s1_73_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s9_63_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s9_63_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s11_49_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s11_49_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s1_78_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s1_78_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s11_30_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s11_30_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Copy-move/s1_82_b.tif,1,Copy-move,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Copy-move/s1_82_b_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s11_30_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s11_30_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s9_63_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s9_63_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s9_62_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s9_62_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s9_61_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s9_61_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_84_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_84_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s9_60_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s9_60_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s9_51_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s9_51_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s11_34_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s11_34_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s9_68_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s9_68_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s11_49_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s11_49_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_79_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_79_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_70_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_70_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s11_36_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s11_36_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_96_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_96_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_82_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_82_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_81_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_81_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s9_58_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s9_58_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_73_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_73_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_71_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_71_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s9_67_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s9_67_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s9_59_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s9_59_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s9_52_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s9_52_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s1_74_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s1_74_c_1.tif
/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Tampered/Retouching/s9_56_c.tif,1,Retouching,tampered,True,/home/mohanganesh/AI_TraceFinder/The SUPATLANTIQUE dataset/Tampered images/Binary masks/Retouching/s9_56_c_1.tif
